company,penalty,lat,lon,city,state
CH2M HILL Plateau Remediation Company,131594,46.2826,-119.2938,Richland,Washington
DuPont,2000000,38.2337,-81.5387,Belle,West Virginia
DuPont,1102000,38.1662,-85.6488,Louisville,Kentucky
DuPont,800000,39.2422,-81.6679,Washington,West Virginia
DuPont,531000,39.6834,-75.4905,Deepwater,New Jersey
E.I. du Pont de Nemours & Co.,724000,43.0105,-78.8805,Tonawanda,New York
E.I. du Pont de Nemours & Co.,440000,43.0105,-78.8805,Tonawanda,New York
E.I. du Pont de Nemours and Company,1275000,38.2337,-81.5387,Belle,West Virginia
"E.I. DuPont de Nemours, Inc",250000,39.6834,-75.4905,Deepwater,New Jersey
"Chemicals and Solvents, Inc. dba Chemsolv, Inc.",243967,37.2785,-79.958,Roanoke,Virginia
Chemtura Corporation,55901,33.2184,-92.664,El Dorado,Arkansas
Chevron,384000,40.7774,-111.9301,Salt Lake City,Utah
Chevron USA,7000000,33.9169,-118.4021,El Segundo,California
Chevron Phillips Chemical Company,3000000,29.6584,-95.1499,Pasadena,Texas
Clean Harbors Deer Park LLC,22400,29.669,-95.0483,La Porte,Texas
"Clean Harbors El Dorado, L.L.C.",581236,33.2184,-92.664,El Dorado,Arkansas
"Clean Harbors Environmental Services, Inc.",150000,41.2336,-103.6512,Kimball,Nebraska
Coffeyville Resources Refining & Marketing,11720000,37.052,-95.6178,Coffeyville,Kansas
Coffeyville Resources Refining & Marketing,2302500,37.052,-95.6178,Coffeyville,Kansas
Coffeyville Resources Refining & Marketing,300000,37.052,-95.6178,Coffeyville,Kansas
Columbus Steel Castings Company,825000,39.986,-82.9852,Columbus,Ohio
"Columbus Manufacturing Inc., a wholly owned subsidiary of Columbus Foods LLC",6685446,37.6536,-122.4197,South San Francisco,California
"Combined Systems, Inc.",65000,41.4843,-80.437,Jamestown,Pennsylvania
"ConAgra Foods, Inc.",248513,44.7318,-92.8538,Hastings,Minnesota
Ralcorp's Cottage Bakery,1375000,38.1218,-121.2932,Lodi,California
Conopco Inc. dba Unilever Home and Personal Care,4500000,41.2763,-72.5305,Clinton,Connecticut
Copar Quarries,80000,41.3944,-71.7541,Bradford,Rhode Island
"Cosmoflex, Inc.",80000,39.7097,-91.3936,Hannibal,Missouri
CountryMark Refining and Logistics LLC,18180000,37.9364,-87.8955,Mount Vernon,Indiana
Crane-Hogan Structural Systems,500000,42.1014,-75.9093,Binghamton,New York
Darigold Inc,42000,45.5372,-122.65,Portland,Oregon
Davis Wire Corporation,1525000,34.1139,-118.4068,Los Angeles,California
DEGS of Narrows LLC,310000,37.3316,-80.8083,Narrows,Virginia
Delaware City Refining Company,73113,39.5743,-75.5939,Delaware City,Delaware
"DeMoulas Super Markets, Inc.",33736,42.6554,-71.1418,Andover,Massachusetts
Deseret Generation & Transmission Co-operative,295000,40.4517,-109.5379,Vernal,Utah
Dico Inc.,3067787,41.5725,-93.6104,Des Moines,Iowa
Dominion Cove Point,365000,38.362,-76.4372,Lusby,Maryland
Domtar Paper,1959000,35.8588,-76.7487,Plymouth,North Carolina
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),15000,41.1406,-104.7926,Cheyenne,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),31500,42.8681,-106.2524,Evansville,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),7000,41.1406,-104.7926,Cheyenne,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),6000,44.8358,-108.3918,Lovell,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),35000,41.1406,-104.7926,Cheyenne,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),14000,41.1406,-104.7926,Cheyenne,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),20000,44.8358,-108.3918,Lovell,Wyoming
FISHER SAND & GRAVEL (CT-332),7000,41.4775,-105.6367,Wyoming,Wyoming
FISHER SAND & GRAVEL(CT-926),5000,44.4048,-104.3623,Sundance,Wyoming
SKANSKA USA CIVIL WEST ROCKY MNT DIST,5000,41.4775,-105.6367,Wyoming,Wyoming
WHITING PETROLEUM_LUCKEY DITCH GAS PLANT,27000,41.2724,-110.3344,Mountain View,Wyoming
WHITING PETROLEUM_LUCKEY DITCH GAS PLANT,17500,41.2724,-110.3344,Mountain View,Wyoming
CHEVRON USA-TABLE ROCK GAS PLANT,22400,41.595,-109.2237,Rock Springs,Wyoming
BRIDGER COAL COMPANY _ JIM BRIDGER MINE,10000,41.595,-109.2237,Rock Springs,Wyoming
Dow Chemical Company,2500000,43.6239,-84.2315,Midland,Michigan
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),20000,42.8681,-106.2524,Evansville,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),15000,42.8681,-106.2524,Evansville,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),379000,42.8681,-106.2524,Evansville,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),31500,42.8681,-106.2524,Evansville,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),9100,42.8681,-106.2524,Evansville,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),40000,42.8681,-106.2524,Evansville,Wyoming
CASPER REFINERY (SINCLAIR CASPER REFINING COMPANY),25000,42.8681,-106.2524,Evansville,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),10000,41.1406,-104.7926,Cheyenne,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),68000,41.1406,-104.7926,Cheyenne,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),74000,41.1406,-104.7926,Cheyenne,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),23000,41.1406,-104.7926,Cheyenne,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),10000,41.1406,-104.7926,Cheyenne,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),10000,41.1406,-104.7926,Cheyenne,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),611598,41.1406,-104.7926,Cheyenne,Wyoming
FRONTIER REFINERY (HOLLYFRONTIER CHEYENNE REFINING LLC),205000,41.1406,-104.7926,Cheyenne,Wyoming
COLONY EAST AND WEST PLANTS (AMERICAN COLLOID COMPANY),7500,44.87,-104.1552,Colony,Wyoming
COLORADO INTERSTATE GAS-SINCLAIR METER,118718,41.7761,-107.1199,Sinclair,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),42000,44.8358,-108.3918,Lovell,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),17500,44.8358,-108.3918,Lovell,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),10000,44.8358,-108.3918,Lovell,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),9500,44.8358,-108.3918,Lovell,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),5000,44.8358,-108.3918,Lovell,Wyoming
LOVELL PLANT (AMERICAN COLLOID CO),5000,44.8358,-108.3918,Lovell,Wyoming
"ALLIANCE PETROLEUM CORPORATION, BERWIND MAIN STATION",8000,39.11,-80.4085,Jane Lew,West Virginia
"PINNACLE MINING COMPANY, LLC,  PINEVILLE",15000,37.5845,-81.5354,Pineville,West Virginia
"SABIC INNOVATIVE PLASTICS US LLC, WASHINGTON",12000,39.2422,-81.6679,Washington,West Virginia
"BLUE RACER MIDSTREAM, LLC, MASON HILL",50000,39.5689,-80.7316,Reader,West Virginia
"EQT PRODUCTION COMPANY, LANTZ MILLS WELL SITE",25000,39.5304,-80.6404,Jacksonburg,West Virginia
"EQT PRODUCTION COMPANY, PNG 241 WELL PAD",25000,39.5304,-80.6404,Jacksonburg,West Virginia
"EQT PRODUCTION COMPANY, DEWHURST WELL",50000,39.5304,-80.6404,Jacksonburg,West Virginia
"MARKWEST LIBERTY MIDSTREAM & RESOURCES LLC, MOBLEY",48000,39.5012,-80.5551,Smithfield,West Virginia
"MARKWEST LIBERTY MIDSTREAM & RESOURCES LLC, MOBLEY",5000,39.5012,-80.5551,Smithfield,West Virginia
"COLUMBIA GAS TRANSMISSION, LLC, SMITHFIELD",24950,39.5012,-80.5551,Smithfield,West Virginia
"BROOKS RUN MINING COMPANY, LLC,  ERBACON",5000,38.519,-80.589,Erbacon,West Virginia
"BRASKEM AMERICA, INC., KENOVA",25000,38.4029,-82.5825,Kenova,West Virginia
"BRASKEM AMERICA, INC., KENOVA",73500,38.4029,-82.5825,Kenova,West Virginia
"WEYERHAEUSER COMPANY, BUCKHANNON",45000,38.9927,-80.2279,Buckhannon,West Virginia
"ANTERO MIDSTREAM LLC, MOUNTAIN STATION",98900,39.2874,-80.9754,Pennsboro,West Virginia
"KINGSFORD MANUFACTURING COMPANY, PARSONS",28500,39.0942,-79.6786,Parsons,West Virginia
"KINGSFORD MANUFACTURING COMPANY, PARSONS",15000,39.0942,-79.6786,Parsons,West Virginia
"ALLIANCE PETROLEUM CORPORATION, GREEN HOUSE SITE",10000,39.2666,-80.1287,Flemington,West Virginia
"CNX GAS COMPANY LLC, PENNSBORO 2",5475,39.2874,-80.9754,Pennsboro,West Virginia
"CNX GAS COMPANY LLC, PENNSBORO1",5475,39.2874,-80.9754,Pennsboro,West Virginia
"ANTERO RESOURCES CORPORATION, NESS WELLPAD",98900,39.188,-80.949,Pullman,West Virginia
"ANTERO RESOURCES CORPORATION, LOCKHART HEIRS PAD",20000,39.188,-80.949,Pullman,West Virginia
"ANTERO RESOURCES CORPORATION, LOCKHART HEIRS PAD",20000,39.188,-80.949,Pullman,West Virginia
"ANTERO RESOURCES CORPORATION, EDDY PAD",20000,39.2874,-80.9754,Pennsboro,West Virginia
"EQT PRODUCTION COMPANY, PEN-16 PAD",20000,39.2874,-80.9754,Pennsboro,West Virginia
"EQT PRODUCTION COMPANY, PEN-13 PAD",20000,39.2874,-80.9754,Pennsboro,West Virginia
"ANTERO RESOURCES CORPORATION, LOCKHART HEIRS PAD",20000,39.188,-80.949,Pullman,West Virginia
"ANTERO RESOURCES CORPORATION, JOHN CAMPBELL NORTH",20000,39.188,-80.949,Pullman,West Virginia
"DOMINION ENERGY TRANSMISSION, INC., CRAIG STATION",10000,39.074,-81.0943,Smithville,West Virginia
"ORICA GROUND SUPPORT INC., BLUEFIELD",39000,37.2605,-81.2155,Bluefield,West Virginia
"CHEVRON APPALACHIA, LLC, TAYLOR B SITE",21000,39.9221,-80.7422,Moundsville,West Virginia
"CHEVRON APPALACHIA, LLC, CAVENEY SITE",21000,39.9221,-80.7422,Moundsville,West Virginia
"SECOND STERLING CORPORATION,  KEYSTONE #1",40000,37.4158,-81.4463,Keystone,West Virginia
"SECOND STERLING CORPORATION,  KEYSTONE #1",150000,37.4158,-81.4463,Keystone,West Virginia
"COLUMBIA GAS TRANSMISSION, LLC, HUBBALL",15000,38.2209,-82.2038,Branchland,West Virginia
"DOMINION ENERGY TRANSMISSION, INC, LIGHTBURN STATION",37500,39.11,-80.4085,Jane Lew,West Virginia
"DOMINION ENERGY TRANSMISSION, INC., BRIDGEPORT STATION",10000,39.3037,-80.2476,Bridgeport,West Virginia
"AMERICAN WOODMARK CORPORATION, SOUTH BRANCH",21000,39.0674,-78.9624,Moorefield,West Virginia
"AMERICAN WOODMARK CORPORATION, SOUTH BRANCH",5000,39.0674,-78.9624,Moorefield,West Virginia
"ANTERO RESOURCES CORPORATION, JONATHAN DAVIS PAD",20000,39.2963,-80.7751,West Union,West Virginia
"ANTERO RESOURCES CORPORATION, RUDDY ALT PAD",20000,39.2301,-80.6826,New Milton,West Virginia
"ANTERO RESOURCES CORPORATION, VOGT PAD",20000,39.2963,-80.7751,West Union,West Virginia
"ANTERO RESOURCES CORPORATION, ERWIN HILLTOP PAD",20000,39.2301,-80.6826,New Milton,West Virginia
"ANTERO RESOURCES CORPORATION, ERWIN VALLEY PAD",20000,39.2301,-80.6826,New Milton,West Virginia
"ANTERO RESOURCES CORPORATION, POWELL PAD",15000,39.2893,-80.7343,Smithburg,West Virginia
"EQT PRODUCTION COMPANY, OXF-134 PAD",75000,39.2963,-80.7751,West Union,West Virginia
"MARKWEST LIBERTY MIDSTREAM & RESOURCES LLC, SHERWOOD",48000,39.2893,-80.7343,Smithburg,West Virginia
"MARKWEST LIBERTY MIDSTREAM & RESOURCES LLC, SHERWOOD",250000,39.2893,-80.7343,Smithburg,West Virginia
"DOMINION ENERGY TRANSMISSION, INC, WEST UNION",10000,39.2963,-80.7751,West Union,West Virginia
"BIMBO BAKERIES USA, INC., HUNTINGTON",10000,38.4109,-82.4344,Huntington,West Virginia
"HUNTINGTON ALLOYS, HUNTINGTON",305000,38.4109,-82.4344,Huntington,West Virginia
"HUNTINGTON ALLOYS, HUNTINGTON",5000,38.4109,-82.4344,Huntington,West Virginia
"ARDAGH METAL PACKAGING USA INC., WEIRTON",25000,40.406,-80.5671,Weirton,West Virginia
"ROCKWELL MINING, LLC, ROCKLICK PREP PLANT",12500,37.8709,-81.6357,Bald Knob,West Virginia
"MAAX US CORP., MARTINSBURG",5000,39.4582,-77.9776,Martinsburg,West Virginia
"MAAX US CORP., MARTINSBURG",42000,39.4582,-77.9776,Martinsburg,West Virginia
"KNAUF INSULATION, INC., INWOOD",10000,39.3538,-78.0552,Inwood,West Virginia
"DOMINION TRANSMISSION, INC.,  TYGART VALLEY STATIO",17500,39.1487,-80.0417,Philippi,West Virginia
"DOMINION ENERGY TRANSMISSION, INC., BELINGTON, STA. 14",68500,39.022,-79.9383,Belington,West Virginia
"SWIFT TRANSPORTATION, INC.",15500,33.5722,-112.0891,Phoenix,Arizona
"CAIMAN ENERGY, LLC",154148,32.7937,-96.7662,Dallas,Texas
MCDONALD'S RESTAURANT,11430,38.5042,-81.6398,Sissonville,West Virginia
"XTO ENERGY, INC.",54130,32.7814,-97.3473,Fort Worth,Texas
"D.S.C. of Newark Enterprises, Inc.",1600000,40.3018,-74.7378,Lawrenceville,New Jersey
"GRENADIER ENERGY PARTNERS, LLC",14770,30.1738,-95.5134,The Woodlands,Texas
JENKINJONES PREPARATION PLANT,5230,37.3688,-81.0961,Princeton,West Virginia
PARKER BRANCH NO. 2 SURFACE MINE,44430,38.0231,-82.4315,Dunlow,West Virginia
FLATBUSH NO.1 SURFACE MINE,809780,38.7319,-79.9725,Mill Creek,West Virginia
EAST GULF COMPLEX~PREPARATION PLANT & REFUSE AREA,153010,37.7878,-81.1841,Beckley,West Virginia
BIG MOUNTAIN PREPARATION PLANT & REFUSE AREA,12830,38.0632,-81.8046,Madison,West Virginia
HERCULES INTERNATIONAL INC.,14468,38.4109,-82.4344,Huntington,West Virginia
FAMILY DOLLAR STORE #715328,11185,39.3732,-78.5228,Slanesville,West Virginia
Duke Energy,3000000,36.5029,-79.7421,Eden,North Carolina
CSX,10530,39.5304,-80.6404,Jacksonburg,West Virginia
SHEETZ ELKINS,11870,38.9237,-79.8541,Elkins,West Virginia
STONE ENERGY CORPORATION,41430,39.638,-79.9468,Morgantown,West Virginia
CINTAS-MINERAL WELLS SITE,7400,39.1806,-81.5129,Mineral Wells,West Virginia
DuPont,2550000,36.0163,-87.9696,New Johnsonville,Tennessee
ANTERO RESOURCES,23930,38.4353,-82.1375,Milton,West Virginia
MASONITE CORP,10000,44.6627,-90.1728,Marshfield,Wisconsin
MASONITE CORP,5000,44.6627,-90.1728,Marshfield,Wisconsin
"WAUPACA FOUNDRY, INC-PLANTS 2 / 3",75000,44.3508,-89.072,Waupaca,Wisconsin
MASONITE CORP,30000,44.6627,-90.1728,Marshfield,Wisconsin
"QUAD/GRAPHICS, INC.",75000,43.1339,-88.2232,Sussex,Wisconsin
"QUAD/GRAPHICS, INC",75000,43.0068,-88.0296,West Allis,Wisconsin
GE DISTRIBUTED POWER INC,85000,43.0087,-88.2464,Waukesha,Wisconsin
ADVANCED DISPOSAL SERVICES MALLARD RIDGE LANDFILL INC,250000,42.6281,-88.6324,Delavan,Wisconsin
KOHLER CO-METALS PROCESSING COMPLEX,30000,43.7363,-87.7794,Kohler,Wisconsin
KOHLER CO-METALS PROCESSING COMPLEX,30000,43.7363,-87.7794,Kohler,Wisconsin
SENECA FOODS CORP - VEGETABLE-DIV,15000,43.4696,-89.7378,Baraboo,Wisconsin
E.I. DuPont de Nemours and Company,59000,35.2748,-77.5937,Kinston,North Carolina
"UNITED ETHANOL, LLC",700000,42.7752,-88.9431,Milton,Wisconsin
"DONALDSON CO., INC.",44131,44.5241,-89.5508,Stevens Point,Wisconsin
"WASTE MANAGEMENT OF WIS, INC.",75000,42.8854,-88.0104,Franklin,Wisconsin
WAUSAU TILE INC,250000,44.9615,-89.6436,Wausau,Wisconsin
DOMTAR PAPER COMPANY LLC,5439,44.8761,-89.6173,Rothschild,Wisconsin
KERRY,72000,44.8761,-89.6173,Rothschild,Wisconsin
BROADWIND TOWERS,95000,44.0991,-87.6811,Manitowoc,Wisconsin
XCEL ENERGY-FRENCH ISLAND GENERATING PLA,167579,43.8241,-91.2268,La Crosse,Wisconsin
WISCONSIN ELECTRIC POWER COMPANY D/B/A WE ENERGIES-PARIS GENERATING STATION,50000,42.6869,-88.0502,Union Grove,Wisconsin
WISCONSIN ELECTRIC POWER COMPANY D/B/A WE ENERGIES-PARIS GENERATING STATION,50000,42.6869,-88.0502,Union Grove,Wisconsin
VALERO RENEWABLE FUELS COMPANY LLC,17000,43.0812,-88.7702,Johnson Creek,Wisconsin
GREDE FOUNDRY (FKA CITATION CORPORATION,80000,43.9704,-88.9505,Berlin,Wisconsin
GREDE CASTINGS - BROWNTOWN DIVISION,5000,42.5788,-89.7894,Browntown,Wisconsin
GREDE CASTINGS - BROWNTOWN DIVISION,25000,42.5788,-89.7894,Browntown,Wisconsin
GREDE CASTINGS - BROWNTOWN DIVISION,54109,42.5788,-89.7894,Browntown,Wisconsin
NESTLE NUTRITION EAU CLAIRE,146489,44.8203,-91.4951,Eau Claire,Wisconsin
DIDION MILLING-CAMBRIA,1050000,43.5416,-89.1108,Cambria,Wisconsin
WPL - COLUMBIA ENERGY CENTER,285000,43.5359,-89.301,Pardeeville,Wisconsin
ABBYLAND FOODS INC,600000,44.9437,-90.3148,Abbotsford,Wisconsin
DAIRYLAND POWER COOP ALMA SITE,50000,44.3366,-91.9222,Alma,Wisconsin
PROCTER & GAMBLE PAPER PRODUCTS CO,81091,44.515,-87.9896,Green Bay,Wisconsin
GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,95000,44.515,-87.9896,Green Bay,Wisconsin
SAPUTO CHEESE USA LENA,40000,44.953,-88.0476,Lena,Wisconsin
"POWERTRAIN, INC",2000000,34.4866,-88.1863,Golden,Mississippi
KINDER MORGAN TRANSMIX CO. LLC,613000,40.5695,-79.8637,Indianola,Pennsylvania
"Mercedes-Benz USA, LLC",1200000,41.0529,-74.0499,Montvale,New Jersey
HOMELITE CONSUMER PRODUCTS INC.,148000,34.5212,-82.6479,Anderson,South Carolina
"Kawasaki Motors Corp, U.S.A.",37500,33.6772,-117.7738,Irvine,California
"Crown Central, LLC",95000,32.3184,-95.3065,Tyler,Texas
Amerada Hess Corporation,36000,32.9086,-80.0705,North Charleston,South Carolina
QuikTrip Corporation,5760,33.0502,-96.7487,Plano,Texas
ConocoPhillips Company,25216,46.829,-100.887,Mandan,North Dakota
EXXONMOBIL CHARLESTON TERMINAL,59800,38.3484,-81.6323,Charleston,West Virginia
Williams Energy Marketing & Trading,210000,29.7452,-95.2333,Galena Park,Texas
"Morgan Stanley Capital Group, Inc.",7500,40.6943,-73.9249,New York,New York
Pennzoil-Quaker State dba SOPUS Products,390000,32.4659,-93.7959,Shreveport,Louisiana
Equilon Enterprises LLC d/b/a Shell Oil Prods US,69950,47.6211,-122.3244,Seattle,Washington
"TRANSALTA CENTRALIA GENERATION, LLC",5500,46.7226,-122.9695,Centralia,Washington
"TRANSALTA CENTRALIA GENERATION, LLC",6000,46.7226,-122.9695,Centralia,Washington
"TRANSALTA CENTRALIA GENERATION, LLC",9000,46.7226,-122.9695,Centralia,Washington
"SIERRA PACIFIC, INDUSTRIES",6750,46.7226,-122.9695,Centralia,Washington
"MERCURY PLASTICS, INC",18577,45.6352,-122.597,Vancouver,Washington
"MERCURY PLASTICS, INC",24696,45.6352,-122.597,Vancouver,Washington
Durham Manufacturing Company,4000000,41.4741,-72.6814,Durham,Connecticut
"MERCURY PLASTICS, INC",10452,45.6352,-122.597,Vancouver,Washington
NORTHWEST PIPELINE CORP WASHOUGAL,6000,45.5812,-122.3433,Washougal,Washington
GOODRICH CORPORATION,249092,47.6671,-117.433,Spokane,Washington
AVISTA/WASH WATER POWER (NE TURBINE),37000,47.6671,-117.433,Spokane,Washington
ASH GROVE CEMENT COMPANY,9000,47.6211,-122.3244,Seattle,Washington
ARDAGH GLASS INC.,30400,47.6211,-122.3244,Seattle,Washington
ARDAGH GLASS INC.,19000,47.6211,-122.3244,Seattle,Washington
"ARCLIN SURFACES, LLC",6000,47.2431,-122.4531,Tacoma,Washington
"ARCLIN SURFACES, LLC",8000,47.2431,-122.4531,Tacoma,Washington
STERICYCLE DBA.  LLBURLINGTON ENVIRONC,12000,47.2431,-122.4531,Tacoma,Washington
"ARCLIN SURFACES, LLC",6000,47.2431,-122.4531,Tacoma,Washington
STERICYCLE DBA.  LLBURLINGTON ENVIRONC,24000,47.2431,-122.4531,Tacoma,Washington
BOEING COMMERCIAL AIRPLANE GROUP - EVERETT,15000,47.9524,-122.167,Everett,Washington
"ARCLIN SURFACES, LLC",28000,47.2431,-122.4531,Tacoma,Washington
BOEING COMMERCIAL AIRPLANE GROUP - EVERETT,6750,47.9524,-122.167,Everett,Washington
BOEING COMMERCIAL AIRPLANE GROUP - EVERETT,5750,47.9524,-122.167,Everett,Washington
ARDAGH GLASS INC.,6200,47.6211,-122.3244,Seattle,Washington
ARDAGH GLASS INC.,9000,47.6211,-122.3244,Seattle,Washington
ASH GROVE CEMENT COMPANY,30000,47.6211,-122.3244,Seattle,Washington
ASH GROVE CEMENT COMPANY,30000,47.6211,-122.3244,Seattle,Washington
ZODIAC AEROSPACE,6000,48.0809,-122.1558,Marysville,Washington
"STOCKPOT, INC.",20000,47.9524,-122.167,Everett,Washington
BOEING COMMERCIAL AIRPLANE GROUP - EVERETT,15000,47.9524,-122.167,Everett,Washington
BOEING COMMERCIAL AIRPLANE GROUP - EVERETT,12000,47.9524,-122.167,Everett,Washington
BOEING COMMERCIAL AIRPLANE GROUP - EVERETT,12000,47.9524,-122.167,Everett,Washington
ZODIAC AEROSPACE,8000,48.0809,-122.1558,Marysville,Washington
ZODIAC AEROSPACE,24000,48.0809,-122.1558,Marysville,Washington
ZODIAC AEROSPACE,9000,48.0809,-122.1558,Marysville,Washington
PHILLIPS 66 COMPANY - TACOMA TERMINAL,161000,47.2431,-122.4531,Tacoma,Washington
DARLING INGREDIENTS INC,5000,47.2431,-122.4531,Tacoma,Washington
DARLING INGREDIENTS INC,6000,47.2431,-122.4531,Tacoma,Washington
"ARCLIN SURFACES, LLC",36000,47.2431,-122.4531,Tacoma,Washington
PHILLIPS 66 COMPANY - RENTON TERMINAL,5000,47.4758,-122.1905,Renton,Washington
STARBUCKS COFFEE CO,5321,47.3887,-122.2128,Kent,Washington
STARBUCKS COFFEE CO,5000,47.3887,-122.2128,Kent,Washington
INSULFOAM DIV OF CARLISLE CONSTRUCTION M,7000,47.3887,-122.2128,Kent,Washington
BERRY PLASTICS CORPORATION,213300,47.3887,-122.2128,Kent,Washington
BERRY PLASTICS CORPORATION,8000,47.3887,-122.2128,Kent,Washington
HEXCEL CORPORATION,28000,47.3887,-122.2128,Kent,Washington
HEXCEL CORPORATION,7000,47.3887,-122.2128,Kent,Washington
"Dyno Nobel, Inc",110900,41.1406,-104.7926,Cheyenne,Wyoming
ASH GROVE CEMENT COMPANY,6000,47.6211,-122.3244,Seattle,Washington
ASH GROVE CEMENT COMPANY,6000,47.6211,-122.3244,Seattle,Washington
ASH GROVE CEMENT COMPANY,12000,47.6211,-122.3244,Seattle,Washington
ASH GROVE CEMENT COMPANY,6000,47.6211,-122.3244,Seattle,Washington
LAFARGE NORTH AMERICA INC,91000,47.6211,-122.3244,Seattle,Washington
LAFARGE NORTH AMERICA INC,96000,47.6211,-122.3244,Seattle,Washington
LAFARGE NORTH AMERICA INC,9000,47.6211,-122.3244,Seattle,Washington
LAFARGE NORTH AMERICA INC,128000,47.6211,-122.3244,Seattle,Washington
LAFARGE NORTH AMERICA INC,20000,47.6211,-122.3244,Seattle,Washington
LAFARGE NORTH AMERICA INC,31000,47.6211,-122.3244,Seattle,Washington
