company,penalty,lat,lon,city,industry,state
"ALLIANCE PETROLEUM CORPORATION, BERWIND MAIN STATION",8000,39.11,-80.4085,Jane Lew,oil & gas,West Virginia
"PINNACLE MINING COMPANY, LLC,  PINEVILLE",15000,37.5845,-81.5354,Pineville,coal mining,West Virginia
"SABIC INNOVATIVE PLASTICS US LLC, WASHINGTON",12000,39.2422,-81.6679,Washington,chemicals,West Virginia
"BLUE RACER MIDSTREAM, LLC, MASON HILL",50000,39.5689,-80.7316,Reader,oil & gas,West Virginia
"EQT PRODUCTION COMPANY, LANTZ MILLS WELL SITE",25000,39.5304,-80.6404,Jacksonburg,oil & gas,West Virginia
"EQT PRODUCTION COMPANY, PNG 241 WELL PAD",25000,39.5304,-80.6404,Jacksonburg,oil & gas,West Virginia
"EQT PRODUCTION COMPANY, DEWHURST WELL",50000,39.5304,-80.6404,Jacksonburg,oil & gas,West Virginia
"MARKWEST LIBERTY MIDSTREAM & RESOURCES LLC, MOBLEY",48000,39.5012,-80.5551,Smithfield,oil & gas,West Virginia
"MARKWEST LIBERTY MIDSTREAM & RESOURCES LLC, MOBLEY",5000,39.5012,-80.5551,Smithfield,oil & gas,West Virginia
"COLUMBIA GAS TRANSMISSION, LLC, SMITHFIELD",24950,39.5012,-80.5551,Smithfield,pipelines,West Virginia
"BROOKS RUN MINING COMPANY, LLC,  ERBACON",5000,38.519,-80.589,Erbacon,mining,West Virginia
"BRASKEM AMERICA, INC., KENOVA",25000,38.4029,-82.5825,Kenova,chemicals,West Virginia
"BRASKEM AMERICA, INC., KENOVA",73500,38.4029,-82.5825,Kenova,chemicals,West Virginia
"WEYERHAEUSER COMPANY, BUCKHANNON",45000,38.9927,-80.2279,Buckhannon,forest products,West Virginia
"ANTERO MIDSTREAM LLC, MOUNTAIN STATION",98900,39.2874,-80.9754,Pennsboro,oil & gas,West Virginia
"KINGSFORD MANUFACTURING COMPANY, PARSONS",28500,39.0942,-79.6786,Parsons,household products,West Virginia
"KINGSFORD MANUFACTURING COMPANY, PARSONS",15000,39.0942,-79.6786,Parsons,household products,West Virginia
"ALLIANCE PETROLEUM CORPORATION, GREEN HOUSE SITE",10000,39.2666,-80.1287,Flemington,oil & gas,West Virginia
"CNX GAS COMPANY LLC, PENNSBORO 2",5475,39.2874,-80.9754,Pennsboro,oil & gas,West Virginia
"CNX GAS COMPANY LLC, PENNSBORO1",5475,39.2874,-80.9754,Pennsboro,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, NESS WELLPAD",98900,39.188,-80.949,Pullman,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, LOCKHART HEIRS PAD",20000,39.188,-80.949,Pullman,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, LOCKHART HEIRS PAD",20000,39.188,-80.949,Pullman,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, EDDY PAD",20000,39.2874,-80.9754,Pennsboro,oil & gas,West Virginia
"EQT PRODUCTION COMPANY, PEN-16 PAD",20000,39.2874,-80.9754,Pennsboro,oil & gas,West Virginia
"EQT PRODUCTION COMPANY, PEN-13 PAD",20000,39.2874,-80.9754,Pennsboro,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, LOCKHART HEIRS PAD",20000,39.188,-80.949,Pullman,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, JOHN CAMPBELL NORTH",20000,39.188,-80.949,Pullman,oil & gas,West Virginia
"DOMINION ENERGY TRANSMISSION, INC., CRAIG STATION",10000,39.074,-81.0943,Smithville,utilities,West Virginia
"ORICA GROUND SUPPORT INC., BLUEFIELD",39000,37.2605,-81.2155,Bluefield,mining services,West Virginia
"CHEVRON APPALACHIA, LLC, TAYLOR B SITE",21000,39.9221,-80.7422,Moundsville,oil & gas,West Virginia
"CHEVRON APPALACHIA, LLC, CAVENEY SITE",21000,39.9221,-80.7422,Moundsville,oil & gas,West Virginia
"SECOND STERLING CORPORATION,  KEYSTONE #1",40000,37.4158,-81.4463,Keystone,coal mining,West Virginia
"SECOND STERLING CORPORATION,  KEYSTONE #1",150000,37.4158,-81.4463,Keystone,coal mining,West Virginia
"COLUMBIA GAS TRANSMISSION, LLC, HUBBALL",15000,38.2209,-82.2038,Branchland,pipelines,West Virginia
"DOMINION ENERGY TRANSMISSION, INC, LIGHTBURN STATION",37500,39.11,-80.4085,Jane Lew,utilities,West Virginia
"DOMINION ENERGY TRANSMISSION, INC., BRIDGEPORT STATION",10000,39.3037,-80.2476,Bridgeport,utilities,West Virginia
"AMERICAN WOODMARK CORPORATION, SOUTH BRANCH",21000,39.0674,-78.9624,Moorefield,kitchen cabinets,West Virginia
"AMERICAN WOODMARK CORPORATION, SOUTH BRANCH",5000,39.0674,-78.9624,Moorefield,kitchen cabinets,West Virginia
"ANTERO RESOURCES CORPORATION, JONATHAN DAVIS PAD",20000,39.2963,-80.7751,West Union,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, RUDDY ALT PAD",20000,39.2301,-80.6826,New Milton,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, VOGT PAD",20000,39.2963,-80.7751,West Union,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, ERWIN HILLTOP PAD",20000,39.2301,-80.6826,New Milton,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, ERWIN VALLEY PAD",20000,39.2301,-80.6826,New Milton,oil & gas,West Virginia
"ANTERO RESOURCES CORPORATION, POWELL PAD",15000,39.2893,-80.7343,Smithburg,oil & gas,West Virginia
"EQT PRODUCTION COMPANY, OXF-134 PAD",75000,39.2963,-80.7751,West Union,oil & gas,West Virginia
"MARKWEST LIBERTY MIDSTREAM & RESOURCES LLC, SHERWOOD",48000,39.2893,-80.7343,Smithburg,oil & gas,West Virginia
"MARKWEST LIBERTY MIDSTREAM & RESOURCES LLC, SHERWOOD",250000,39.2893,-80.7343,Smithburg,oil & gas,West Virginia
"DOMINION ENERGY TRANSMISSION, INC, WEST UNION",10000,39.2963,-80.7751,West Union,utilities,West Virginia
"BIMBO BAKERIES USA, INC., HUNTINGTON",10000,38.4109,-82.4344,Huntington,food products,West Virginia
"HUNTINGTON ALLOYS, HUNTINGTON",305000,38.4109,-82.4344,Huntington,diversified,West Virginia
"HUNTINGTON ALLOYS, HUNTINGTON",5000,38.4109,-82.4344,Huntington,diversified,West Virginia
"ARDAGH METAL PACKAGING USA INC., WEIRTON",25000,40.406,-80.5671,Weirton,packaging,West Virginia
"ROCKWELL MINING, LLC, ROCKLICK PREP PLANT",12500,37.8709,-81.6357,Bald Knob,coal mining,West Virginia
"MAAX US CORP., MARTINSBURG",5000,39.4582,-77.9776,Martinsburg,private equity (including portfolio companies),West Virginia
"MAAX US CORP., MARTINSBURG",42000,39.4582,-77.9776,Martinsburg,private equity (including portfolio companies),West Virginia
"KNAUF INSULATION, INC., INWOOD",10000,39.3538,-78.0552,Inwood,insulation,West Virginia
"DOMINION TRANSMISSION, INC.,  TYGART VALLEY STATIO",17500,39.1487,-80.0417,Philippi,utilities,West Virginia
"DOMINION ENERGY TRANSMISSION, INC., BELINGTON, STA. 14",68500,39.022,-79.9383,Belington,utilities,West Virginia
"SWIFT TRANSPORTATION, INC.",15500,33.5722,-112.0891,Phoenix,trucking,Arizona
"CAIMAN ENERGY, LLC",154148,32.7937,-96.7662,Dallas,oil & gas,Texas
MCDONALD'S RESTAURANT,11430,38.5042,-81.6398,Sissonville,restaurants,West Virginia
"XTO ENERGY, INC.",54130,32.7814,-97.3473,Fort Worth,oil & gas,Texas
"D.S.C. of Newark Enterprises, Inc.",1600000,40.3018,-74.7378,Lawrenceville,real estate,New Jersey
"GRENADIER ENERGY PARTNERS, LLC",14770,30.1738,-95.5134,The Woodlands,private equity (including portfolio companies),Texas
JENKINJONES PREPARATION PLANT,5230,37.3688,-81.0961,Princeton,coal mining,West Virginia
PARKER BRANCH NO. 2 SURFACE MINE,44430,38.0231,-82.4315,Dunlow,coal mining,West Virginia
FLATBUSH NO.1 SURFACE MINE,809780,38.7319,-79.9725,Mill Creek,mining & steel,West Virginia
EAST GULF COMPLEX~PREPARATION PLANT & REFUSE AREA,153010,37.7878,-81.1841,Beckley,mining & steel,West Virginia
BIG MOUNTAIN PREPARATION PLANT & REFUSE AREA,12830,38.0632,-81.8046,Madison,mining,West Virginia
HERCULES INTERNATIONAL INC.,14468,38.4109,-82.4344,Huntington,chemicals,West Virginia
FAMILY DOLLAR STORE #715328,11185,39.3732,-78.5228,Slanesville,retail-discount stores,West Virginia
Duke Energy,3000000,36.5029,-79.7421,Eden,utilities,North Carolina
CSX,10530,39.5304,-80.6404,Jacksonburg,railroads,West Virginia
SHEETZ ELKINS,11870,38.9237,-79.8541,Elkins,retail-convenience stores,West Virginia
STONE ENERGY CORPORATION,41430,39.638,-79.9468,Morgantown,oil & gas,West Virginia
CINTAS-MINERAL WELLS SITE,7400,39.1806,-81.5129,Mineral Wells,business services,West Virginia
DuPont,2550000,36.0163,-87.9696,New Johnsonville,chemicals,Tennessee
ANTERO RESOURCES,23930,38.4353,-82.1375,Milton,oil & gas,West Virginia
MASONITE CORP,10000,44.6627,-90.1728,Marshfield,forest products,Wisconsin
MASONITE CORP,5000,44.6627,-90.1728,Marshfield,forest products,Wisconsin
"WAUPACA FOUNDRY, INC-PLANTS 2 / 3",75000,44.3508,-89.072,Waupaca,diversified,Wisconsin
MASONITE CORP,30000,44.6627,-90.1728,Marshfield,forest products,Wisconsin
"QUAD/GRAPHICS, INC.",75000,43.1339,-88.2232,Sussex,printing,Wisconsin
"QUAD/GRAPHICS, INC",75000,43.0068,-88.0296,West Allis,printing,Wisconsin
GE DISTRIBUTED POWER INC,85000,43.0087,-88.2464,Waukesha,diversified,Wisconsin
ADVANCED DISPOSAL SERVICES MALLARD RIDGE LANDFILL INC,250000,42.6281,-88.6324,Delavan,waste management,Wisconsin
KOHLER CO-METALS PROCESSING COMPLEX,30000,43.7363,-87.7794,Kohler,building materials,Wisconsin
KOHLER CO-METALS PROCESSING COMPLEX,30000,43.7363,-87.7794,Kohler,building materials,Wisconsin
SENECA FOODS CORP - VEGETABLE-DIV,15000,43.4696,-89.7378,Baraboo,food products,Wisconsin
E.I. DuPont de Nemours and Company,59000,35.2748,-77.5937,Kinston,chemicals,North Carolina
"UNITED ETHANOL, LLC",700000,42.7752,-88.9431,Milton,ethanol,Wisconsin
"DONALDSON CO., INC.",44131,44.5241,-89.5508,Stevens Point,industrial equipment,Wisconsin
"WASTE MANAGEMENT OF WIS, INC.",75000,42.8854,-88.0104,Franklin,waste management,Wisconsin
WAUSAU TILE INC,250000,44.9615,-89.6436,Wausau,building materials,Wisconsin
DOMTAR PAPER COMPANY LLC,5439,44.8761,-89.6173,Rothschild,paper products,Wisconsin
KERRY,72000,44.8761,-89.6173,Rothschild,food products,Wisconsin
BROADWIND TOWERS,95000,44.0991,-87.6811,Manitowoc,wind power equipment,Wisconsin
XCEL ENERGY-FRENCH ISLAND GENERATING PLA,167579,43.8241,-91.2268,La Crosse,power generation,Wisconsin
WISCONSIN ELECTRIC POWER COMPANY D/B/A WE ENERGIES-PARIS GENERATING STATION,50000,42.6869,-88.0502,Union Grove,utilities,Wisconsin
WISCONSIN ELECTRIC POWER COMPANY D/B/A WE ENERGIES-PARIS GENERATING STATION,50000,42.6869,-88.0502,Union Grove,utilities,Wisconsin
VALERO RENEWABLE FUELS COMPANY LLC,17000,43.0812,-88.7702,Johnson Creek,oil & gas,Wisconsin
GREDE FOUNDRY (FKA CITATION CORPORATION,80000,43.9704,-88.9505,Berlin,automotive parts,Wisconsin
GREDE CASTINGS - BROWNTOWN DIVISION,5000,42.5788,-89.7894,Browntown,automotive parts,Wisconsin
GREDE CASTINGS - BROWNTOWN DIVISION,25000,42.5788,-89.7894,Browntown,automotive parts,Wisconsin
GREDE CASTINGS - BROWNTOWN DIVISION,54109,42.5788,-89.7894,Browntown,automotive parts,Wisconsin
NESTLE NUTRITION EAU CLAIRE,146489,44.8203,-91.4951,Eau Claire,food products,Wisconsin
DIDION MILLING-CAMBRIA,1050000,43.5416,-89.1108,Cambria,agribusiness,Wisconsin
WPL - COLUMBIA ENERGY CENTER,285000,43.5359,-89.301,Pardeeville,utilities,Wisconsin
ABBYLAND FOODS INC,600000,44.9437,-90.3148,Abbotsford,food products,Wisconsin
DAIRYLAND POWER COOP ALMA SITE,50000,44.3366,-91.9222,Alma,power generation,Wisconsin
PROCTER & GAMBLE PAPER PRODUCTS CO,81091,44.515,-87.9896,Green Bay,household & personal care products,Wisconsin
GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,95000,44.515,-87.9896,Green Bay,diversified,Wisconsin
SAPUTO CHEESE USA LENA,40000,44.953,-88.0476,Lena,food products,Wisconsin
"POWERTRAIN, INC",2000000,34.4866,-88.1863,Golden,automotive parts,Mississippi
KINDER MORGAN TRANSMIX CO. LLC,613000,40.5695,-79.8637,Indianola,pipelines,Pennsylvania
"Mercedes-Benz USA, LLC",1200000,41.0529,-74.0499,Montvale,motor vehicles,New Jersey
HOMELITE CONSUMER PRODUCTS INC.,148000,34.5212,-82.6479,Anderson,diversified,South Carolina
"Kawasaki Motors Corp, U.S.A.",37500,33.6772,-117.7738,Irvine,diversified,California
"Crown Central, LLC",95000,32.3184,-95.3065,Tyler,oil & gas,Texas
Amerada Hess Corporation,36000,32.9086,-80.0705,North Charleston,oil & gas,South Carolina
QuikTrip Corporation,5760,33.0502,-96.7487,Plano,convenience stores,Texas
ConocoPhillips Company,25216,46.829,-100.887,Mandan,oil & gas,North Dakota
EXXONMOBIL CHARLESTON TERMINAL,59800,38.3484,-81.6323,Charleston,oil & gas,West Virginia
Williams Energy Marketing & Trading,210000,29.7452,-95.2333,Galena Park,oil & gas,Texas
"Morgan Stanley Capital Group, Inc.",7500,40.6943,-73.9249,New York,financial services,New York
Pennzoil-Quaker State dba SOPUS Products,390000,32.4659,-93.7959,Shreveport,oil & gas,Louisiana
Equilon Enterprises LLC d/b/a Shell Oil Prods US,69950,47.6211,-122.3244,Seattle,oil & gas,Washington
"TRANSALTA CENTRALIA GENERATION, LLC",5500,46.7226,-122.9695,Centralia,utilities,Washington
"TRANSALTA CENTRALIA GENERATION, LLC",6000,46.7226,-122.9695,Centralia,utilities,Washington
"TRANSALTA CENTRALIA GENERATION, LLC",9000,46.7226,-122.9695,Centralia,utilities,Washington
"SIERRA PACIFIC, INDUSTRIES",6750,46.7226,-122.9695,Centralia,forest products,Washington
"MERCURY PLASTICS, INC",18577,45.6352,-122.597,Vancouver,plastic film and sheeting,Washington
"MERCURY PLASTICS, INC",24696,45.6352,-122.597,Vancouver,plastic film and sheeting,Washington
Durham Manufacturing Company,4000000,41.4741,-72.6814,Durham,storage equipment,Connecticut
"MERCURY PLASTICS, INC",10452,45.6352,-122.597,Vancouver,plastic film and sheeting,Washington
NORTHWEST PIPELINE CORP WASHOUGAL,6000,45.5812,-122.3433,Washougal,oil & gas,Washington
GOODRICH CORPORATION,249092,47.6671,-117.433,Spokane,aerospace & military contracting,Washington
AVISTA/WASH WATER POWER (NE TURBINE),37000,47.6671,-117.433,Spokane,utilities,Washington
ASH GROVE CEMENT COMPANY,9000,47.6211,-122.3244,Seattle,building materials,Washington
ARDAGH GLASS INC.,30400,47.6211,-122.3244,Seattle,packaging,Washington
Action Manufacturing Company,1200000,39.9473,-75.9754,Atglen,aerospace & military contracting,Pennsylvania
Advanced Sterilization Products,136800,33.6772,-117.7738,Irvine,pharmaceuticals,California
Ag Processing Inc,96588,43.1487,-93.1998,Mason City,agribusiness,Iowa
Agrifos Fertilizer LLC,1800000,29.6584,-95.1499,Pasadena,biofuels; fertilizers,Texas
Agrifos Fertilizer LLC,385000,29.6584,-95.1499,Pasadena,biofuels; fertilizers,Texas
"Agrium, Inc.",70000,40.1438,-97.1765,Fairbury,fertilizers,Nebraska
Air Products LLC,1485000,29.6584,-95.1499,Pasadena,chemicals,Texas
AK Steel Corporation,1650000,38.4592,-82.6449,Ashland,metals,Kentucky
AK Steel Corporation,1300000,42.3127,-83.2129,Dearborn,metals,Michigan
Alcoa Inc.,334000000,30.6543,-97.0088,Rockdale,metals,Texas
Harrah's Chester Casino & Racetrack,63000,39.8456,-75.3719,Chester,casinos,Pennsylvania
