Company Name ,Account Number,Country ,Reporting Year,Ticker Symbol ,ISIN ,Disclosure Score,Performance Band,Parent Account ,Permission,Response Status,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e),Country Location
Bank of Communications,1454,China,2013,3328 HK,CNE100000205,2,,,Public,AQ*,,,"(35.86166, 104.195397)"
Bank of Montreal,1417,Canada,2013,BMO CN,CA0636711016,94,B,,Public,AQ*,20932.55,86853.06,"(56.130366, -106.346771)"
Bank of Nova Scotia (Scotiabank),1470,Canada,2013,BNS CN,CA0641491075,72,C,,Public,AQ*,16310,128052,"(56.130366, -106.346771)"
Barclays,1502,United Kingdom,2013,BARC LN,GB0031348658,92,A,,Public,AQ*,46757,786547,"(55.378051, -3.435973)"
Barrick Gold Corporation,1536,Canada,2013,ABX CN,CA0679011084,87,B,,Public,AQ*,3784179.51,2229368.38,"(56.130366, -106.346771)"
BASF SE,1516,Germany,2013,BAS GR,DE000BASF111,100,A-,,Public,AQ*,20208000,4479000,"(51.165691, 10.451526)"
Baxter International Inc.,1574,USA,2013,BAX US,US0718131099,82,B,,Public,AQ*,345000,445000,"(37.09024, -95.712891)"
Bayer AG,1581,Germany,2013,BAYN GR,DE000BAY0017,99,A-,,Public,AQ*,4240000,4120000,"(51.165691, 10.451526)"
BB&T Corporation,1610,USA,2013,BBT US,US0549371070,,,,,NR,,,"(37.09024, -95.712891)"
BBVA,1613,Spain,2013,BBVA SM,ES0113211835,76,D,,Public,AQ*,9267,295771,"(40.463667, -3.74922)"
BCE Inc.,1616,Canada,2013,BCE CN,CA05534B7604,91,B,,Public,AQ*,99151,186890,"(56.130366, -106.346771)"
Beiersdorf AG,1641,Germany,2013,BEI GR,DE0005200000,51,C,,Public,AQ*,22071,51571,"(51.165691, 10.451526)"
Belle International,1657,Hong Kong,2013,1880 HK,KYG097021045,,,,,NR,,,"(22.396428, 114.109497)"
Berkshire Hathaway,1718,USA,2013,BRK/B US,US0846707026,,,,,NR,,,"(37.09024, -95.712891)"
BG Group,1785,United Kingdom,2013,BG/ LN,GB0008762899,89,A,,Public,AQ*,7739569,20295,"(55.378051, -3.435973)"
Bharti Airtel,1804,India,2013,BHARTI IN,INE397D01024,,,,,NR,,,"(20.593684, 78.96288)"
BHP Billiton,1808,United Kingdom,2013,BHP AU,AU000000BHP4,75,C,,Public,AQ*,20200000,20000000,"(55.378051, -3.435973)"
Biogen Idec Inc.,1857,USA,2013,BIIB US,US09062X1037,92,B,,Public,AQ*,46588,39307,"(37.09024, -95.712891)"
BlackRock,1875,USA,2013,BLK US,US09247X1019,79,C,,Not public,AQ*,,,"(37.09024, -95.712891)"
BMW AG,1932,Germany,2013,BMW GR,DE0005190003,100,A,,Public,AQ*,484612,862214,"(51.165691, 10.451526)"
BNP Paribas,1907,France,2013,BNP FP,FR0000131104,93,A,,Public,AQ*,70319,388323,"(46.227638, 2.213749)"
BNY Mellon,1464,USA,2013,BK US,US0640581007,100,A,,Public,AQ*,9513,208926,"(37.09024, -95.712891)"
BOC Hong Kong,1957,Hong Kong,2013,2388 HK,HK2388011192,,,,Not public,AQ*,,,"(22.396428, 114.109497)"
Boeing Company,2017,USA,2013,BA US,US0970231058,96,A-,,Public,AQ*,576000,998000,"(37.09024, -95.712891)"
BP,2083,United Kingdom,2013,BP/ LN,GB0007980591,80,C,,Public,AQ*,59830000,8360000,"(55.378051, -3.435973)"
BRF S.A,21473,Brazil,2013,BRFS3 BZ,BRBRFSACNOR8,83,B,,Not public,AQ*,,,"(-14.235004, -51.92528)"
Bridgestone Corporation,2156,Japan,2013,5108 JP,JP3830800003,93,B,,Not public,AQ*,,,"(36.204824, 138.252924)"
Bristol-Myers Squibb,2191,USA,2013,BMY US,US1101221083,96,B,,Public,AQ*,269734,262565,"(37.09024, -95.712891)"
British American Tobacco,2269,United Kingdom,2013,BATS LN,GB0002875804,94,B,,Public,AQ*,359184,387168,"(55.378051, -3.435973)"
British Sky Broadcasting,2302,United Kingdom,2013,BSY LN,GB0001411924,95,A,,Public,AQ*,20972,80458,"(55.378051, -3.435973)"
Brookfield Asset Management Inc.,2330,Canada,2013,BAM/A CN,CA1125851040,63,D,,Public,AQ*,67649,587875,"(56.130366, -106.346771)"
BT Group,2377,United Kingdom,2013,BT/A LN,GB0030913577,93,A,,Public,AQ*,200876,192644,"(55.378051, -3.435973)"
Canadian Imperial Bank of Commerce (CIBC),2683,Canada,2013,CM CN,CA1360691010,61,D,,Public,AQ*,21079,54959,"(56.130366, -106.346771)"
Canadian National Railway Company,2656,Canada,2013,CNR CN,CA1363751027,91,B,,Public,AQ*,5070123,173129,"(56.130366, -106.346771)"
Canadian Natural Resources Limited,2667,Canada,2013,CNQ CN,CA1363851017,66,D,,Public,AQ*,18242506,1793837,"(56.130366, -106.346771)"
Canon Inc.,2688,Japan,2013,7751 JP,JP3242800005,85,B,,Public,AQ*,145283,921409,"(36.204824, 138.252924)"
Capital One Financial,2695,USA,2013,COF US,US14040H1059,71,C,,Public,AQ*,14501,194433,"(37.09024, -95.712891)"
Carnival Corporation,2870,United Kingdom,2013,CCL US,PA1436583006,83,C,,Public,AQ*,10819814,57585,"(55.378051, -3.435973)"
Carrefour,2880,France,2013,CA FP,FR0000120172,80,B,,Public,AQ*,1630800,1585600,"(46.227638, 2.213749)"
Caterpillar Inc.,2918,USA,2013,CAT US,US1491231015,,,,Public,IN,,,"(37.09024, -95.712891)"
CBS Corp.,2942,USA,2013,CBS US,US1248572026,24,,,Public,AQ*,,,"(37.09024, -95.712891)"
Celgene Corporation,2982,USA,2013,CELG US,US1510201049,80,C,,Public,AQ*,14458,18420,"(37.09024, -95.712891)"
Cenovus Energy Inc.,29789,Canada,2013,CVE CN,CA15135U1093,94,B,,Public,AQ*,4657427,1079646,"(56.130366, -106.346771)"
Centrica,3042,United Kingdom,2013,CNA LN,GB00B033F229,97,B,,Public,AQ*,7230344,166476,"(55.378051, -3.435973)"
CenturyLink,31497,USA,2013,CTL US,US1567001060,66,D,,Public,AQ*,279522.5,2079911.5,"(37.09024, -95.712891)"
CEZ,3082,Czech Republic,2013,CEZ CP,CZ0005112300,,,,,NR,,,"(49.817492, 15.472962)"
Charles Schwab Corporation,3133,USA,2013,SCHW US,US8085131055,55,E,,Not public,AQ*,,,"(37.09024, -95.712891)"
Cheung Kong,3188,Hong Kong,2013,1 HK,HK0001000014,,,,,NR,,,"(22.396428, 114.109497)"
Chevron Corporation,3191,USA,2013,CVX US,US1667641005,97,A-,,Public,AQ*,58559220,3849319,"(37.09024, -95.712891)"
China Construction Bank,3182,China,2013,939 HK,CNE1000002H1,,,,Not public,AQ*,,,"(35.86166, 104.195397)"
China Life Insurance Company Limited,22650,China,2013,601628 CH,CNE000001Q93,,,,Not public,AQ*,,,"(35.86166, 104.195397)"
China Mobile,3229,China,2013,941 HK,HK0941009539,,,,Not public,AQ*,,,"(35.86166, 104.195397)"
China Overseas Land & Investment,3235,China,2013,688 HK,HK0688002218,,,,,NR,,,"(35.86166, 104.195397)"
China Petroleum & Chemical Corporation,3242,China,2013,386 HK,CNE1000002Q2,,,,Public,AQ*,,,"(35.86166, 104.195397)"
China Telecom,3244,China,2013,728 HK,CNE1000002V2,,,,Not public,AQ*,,,"(35.86166, 104.195397)"
China Unicom,3248,Hong Kong,2013,762 HK,HK0000049939,2,,,Public,AQ*,,,"(22.396428, 114.109497)"
Christian Dior,3280,France,2013,CDI FP,FR0000130403,59,E,,Not public,AQ*,,,"(46.227638, 2.213749)"
Chunghwa Telecom,3320,Taiwan,2013,2412 TT,TW0002412004,65,D,,Public,AQ*,23168.85,785792.42,"(23.69781, 120.960515)"
Cielo SA,23095,Brazil,2013,CIEL3 BZ,BRCIELACNOR3,53,E,,Public,AQ*,1564.17,285.49,"(-14.235004, -51.92528)"
CIMB Group Holdings,21414,Malaysia,2013,CIMB MK,MYL1023OO000,,,,,NR,,,"(4.210484, 101.975766)"
"Cisco Systems, Inc.",3329,USA,2013,CSCO US,US17275R1023,100,A,,Public,AQ*,65832,628164,"(37.09024, -95.712891)"
Citigroup Inc.,3398,USA,2013,C US,US1729674242,95,B,,Public,AQ*,35569.83,993687.28,"(37.09024, -95.712891)"
CLP Holdings Limited,3503,Hong Kong,2013,2 HK,HK0002007356,94,B,,Public,AQ*,38245000,219000,"(22.396428, 114.109497)"
CNOOC,3527,China,2013,883 HK,HK0883013259,22,,,Not public,AQ*,,,"(35.86166, 104.195397)"
Coal India,31913,India,2013,COAL IN,INE522F01014,,,,,NR,,,"(20.593684, 78.96288)"
Cognizant Technology Solutions Corp.,3588,USA,2013,CTSH US,US1924461023,64,C,,Public,AQ*,46934,137460,"(37.09024, -95.712891)"
Colgate Palmolive Company,3551,USA,2013,CL US,US1941621039,99,B,,Public,AQ*,232574,435061,"(37.09024, -95.712891)"
Comcast Corporation,3635,USA,2013,CMCSA US,US20030N1019,,,,Public,IN,,,"(37.09024, -95.712891)"
Commonwealth Bank of Australia,3649,Australia,2013,CBA AU,AU000000CBA7,94,A,,Public,AQ*,11160,145989,"(-25.274398, 133.775136)"
Compagnie Financière Richemont SA,3672,Switzerland,2013,CFR VX,CH0045039655,79,B,,Public,AQ*,18600,45200,"(46.818188, 8.227512)"
Compass,3692,United Kingdom,2013,CPG LN,GB0005331532,82,C,,Public,AQ*,76140.58,9063.97,"(55.378051, -3.435973)"
ConocoPhillips,3751,USA,2013,COP US,US20825C1045,83,B,,Public,AQ*,24171000,1638000,"(37.09024, -95.712891)"
Continental AG,3818,Germany,2013,CON GR,DE0005439004,82,C,,Public,AQ*,591681,1860558,"(51.165691, 10.451526)"
Corning Incorporated,23254,USA,2013,GLW US,US2193501051,54,D,,Public,AQ*,383729,1129330,"(37.09024, -95.712891)"
Costco Wholesale Corporation,3944,USA,2013,COST US,US22160K1051,45,,,Public,AQ*,362802,1197983,"(37.09024, -95.712891)"
Covidien Ltd.,3943,Ireland,2013,COV US,IE00B68SQD29,70,C,,Public,AQ*,230511,402132,"(53.41291, -8.24389)"
Credit Agricole,4050,France,2013,ACA FP,FR0000045072,59,D,,Public,AQ*,10241,18149,"(46.227638, 2.213749)"
Credit Suisse,4035,Switzerland,2013,CSGN VX,CH0012138530,88,B,,Public,AQ*,23511,151561,"(46.818188, 8.227512)"
Crown Castle International Corp,31501,USA,2013,CCI US,US2282271046,,,,,NR,,,"(37.09024, -95.712891)"
CSL,4052,Australia,2013,CSL AU,AU000000CSL8,85,C,,Public,AQ*,55383,136951,"(-25.274398, 133.775136)"
CSX Corporation,4120,USA,2013,CSX US,US1264081035,95,A,,Public,AQ*,5268905,300170,"(37.09024, -95.712891)"
Cummins Inc.,4136,USA,2013,CMI US,US2310211063,91,B,,Public,AQ*,232052,409890,"(37.09024, -95.712891)"
CVS Caremark Corporation,4151,USA,2013,CVS US,US1266501006,92,B,,Public,AQ*,201000,1495000,"(37.09024, -95.712891)"
Daimler AG,4235,Germany,2013,DAI GR,DE0007100000,100,A,,Public,AQ*,960464,2330559,"(51.165691, 10.451526)"
Danaher Corporation,4289,USA,2013,DHR US,US2358511028,12,,,Not public,AQ*,,,"(37.09024, -95.712891)"
Danone,4311,France,2013,BN FP,FR0000120644,93,B,,Public,AQ*,894206,847529,"(46.227638, 2.213749)"
DBS Group Holdings,4315,Singapore,2013,DBS SP,SG1L01001701,,,,,NR,,,"(1.352083, 103.819836)"
Deere & Company,4365,USA,2013,DE US,US2441991054,79,C,,Public,AQ*,440147,1053446,"(37.09024, -95.712891)"
Denso Corporation,4566,Japan,2013,6902 JP,JP3551500006,71,C,,Not public,AQ*,,,"(36.204824, 138.252924)"
Deutsche Bank AG,4645,Germany,2013,DBK GR,DE0005140008,91,A,,Public,AQ*,94031,443165,"(51.165691, 10.451526)"
Deutsche Post AG,4663,Germany,2013,DPW GR,DE0005552004,98,B,,Public,AQ*,4800000,570000,"(51.165691, 10.451526)"
Deutsche Telekom AG,4667,Germany,2013,DTE GR,DE0005557508,90,B,,Public,AQ*,356128,3291232,"(51.165691, 10.451526)"
Devon Energy Corporation,4678,USA,2013,DVN US,US25179M1036,86,B,,Public,AQ*,7596657,1087905,"(37.09024, -95.712891)"
Diageo Plc,4702,United Kingdom,2013,DGE LN,GB0002374006,98,A,,Public,AQ*,597619,83898,"(55.378051, -3.435973)"
DIRECTV,4773,USA,2013,DTV US,US25490A3095,91,B,,Public,AQ*,106060,88145,"(37.09024, -95.712891)"
Discover Financial Services,4768,USA,2013,DFS US,US2547091080,,,,Public,IN,,,"(37.09024, -95.712891)"
DNB ASA,21537,Norway,2013,DNB NO,NO0010031479,84,B,,Public,AQ*,1571,13587,"(60.472024, 8.468946)"
"Dominion Resources, Inc.",4832,USA,2013,D US,US25746U1097,,,,Not public,DP,,,"(37.09024, -95.712891)"
Dow Chemical Company,4826,USA,2013,DOW US,US2605431038,90,B,,Public,AQ*,27429000,8403000,"(37.09024, -95.712891)"
Duke Energy Corporation,5052,USA,2013,DUK US,US26441C2044,67,C,,Public,AQ*,123430000,,"(37.09024, -95.712891)"
E.I. du Pont de Nemours and Company,5115,USA,2013,DD US,US2635341090,96,A,,Public,AQ*,10817680,4416220,"(37.09024, -95.712891)"
E.ON SE,5108,Germany,2013,EOAN GR,DE000ENAG999,83,B,,Public,AQ*,126871536,4363825,"(51.165691, 10.451526)"
East Japan Railway Company,5145,Japan,2013,9020 JP,JP3783600004,78,C,,Not public,AQ*,,,"(36.204824, 138.252924)"
Eaton Corporation,5194,USA,2013,ETN US,IE00B8KQN827,100,A-,,Public,AQ*,105382,637346,"(37.09024, -95.712891)"
eBay Inc.,5197,USA,2013,EBAY US,US2786421030,75,D,,Public,AQ*,14374,225952,"(37.09024, -95.712891)"
Ecolab Inc.,5154,USA,2013,ECL US,US2788651006,98,A,,Public,AQ*,336258,199296,"(37.09024, -95.712891)"
Ecopetrol Sa,22341,Colombia,2013,ECOPETL CB,COC04PA00016,48,,,Not public,AQ*,,,"(4.570868, -74.297333)"
EDF,5369,France,2013,EDF FP,FR0010242511,95,B,,Public,AQ*,80283556,74004,"(46.227638, 2.213749)"
Eli Lilly & Co.,5377,USA,2013,LLY US,US5324571083,86,B,,Public,AQ*,415040,1160941,"(37.09024, -95.712891)"
EMC Corporation,5395,USA,2013,EMC US,US2686481027,97,A,,Public,AQ*,45886,368528,"(37.09024, -95.712891)"
Emerson Electric Co.,5521,USA,2013,EMR US,US2910111044,,,,Public,AQ*,264967,,"(37.09024, -95.712891)"
Empresas COPEC S.A.,3283,Chile,2013,COPEC CI,CLP7847L1080,32,,,Not public,AQ*,,,"(-35.675147, -71.542969)"
Enbridge Inc.,5581,Canada,2013,ENB CN,CA29250N1050,85,C,,Public,AQ*,3091100,2982900,"(56.130366, -106.346771)"
Endesa,5584,Spain,2013,ELE SM,ES0130670112,98,B,ENEL SpA,Public,AQ*,54676230,1317120.3,"(40.463667, -3.74922)"
ENEL SpA,5574,Italy,2013,ENEL IM,IT0003128367,87,B,,Public,AQ*,127801261,1140337,"(41.87194, 12.56738)"
Eni SpA,5634,Italy,2013,ENI IM,IT0003132476,92,B,,Public,AQ*,52493340,834197,"(41.87194, 12.56738)"
"EOG Resources, Inc.",5767,USA,2013,EOG US,US26875P1012,,,,Public,AQ*,,,"(37.09024, -95.712891)"
Equity Residential,5798,USA,2013,EQR US,US29476L1070,,,,Not public,DP,,,"(37.09024, -95.712891)"
Ericsson,5811,Sweden,2013,ERICB SS,SE0000108656,85,B,,Public,AQ*,92335,263003,"(60.128161, 18.643501)"
Essilor International,5879,France,2013,EI FP,FR0000121667,28,,,Public,AQ*,,55100,"(46.227638, 2.213749)"
Exelon Corporation,6113,USA,2013,EXC US,US30161N1019,98,A,,Public,AQ*,26038890,5691542,"(37.09024, -95.712891)"
Express Scripts Holding Company,11623,USA,2013,MHS US,US58405U1025,,,,Not public,DP,,,"(37.09024, -95.712891)"
Exxon Mobil Corporation,6136,USA,2013,XOM US,US30231G1022,80,B,,Public,AQ*,132000000,14000000,"(37.09024, -95.712891)"
Facebook,40556,USA,2013,FB US,,,,,,NR,,,"(37.09024, -95.712891)"
Fanuc Corporation,6204,Japan,2013,6954 JP,JP3802400006,,,,,NR,,,"(36.204824, 138.252924)"
"Fast Retailing Co., Ltd.",6161,Japan,2013,9983 JP,JP3802300008,,,,,NR,,,"(36.204824, 138.252924)"
FedEx Corporation,6287,USA,2013,FDX US,US31428X1063,80,B,,Public,AQ*,14602697,959109,"(37.09024, -95.712891)"
Femsa - Fomento Economico Mexicano,22113,Mexico,2013,FEMSAUBD MM,MXP320321310,73,C,,Not public,AQ*,,,"(23.634501, -102.552784)"
Firstrand Limited,6436,South Africa,2013,FSR SJ,ZAE000066304,96,A,,Public,AQ*,11571.98,257171.66,"(-30.559482, 22.937506)"
Ford Motor Company,6595,USA,2013,F US,US3453708600,72,C,,Public,AQ*,1698799,3440338,"(37.09024, -95.712891)"
Formosa Petrochemical,6602,Taiwan,2013,6505 TT,TW0006505001,,,Formosa Plastics Corp,,NR,,,"(23.69781, 120.960515)"
"Franklin Resources, Inc.",6684,USA,2013,BEN US,US3546131018,86,C,,Public,AQ*,8175,29552,"(37.09024, -95.712891)"
Freeport-McMoRan Copper & Gold Inc.,23228,USA,2013,FCX US,US35671D8570,86,C,,Public,AQ*,5679367,3985464,"(37.09024, -95.712891)"
Fresenius Medical Care AG & Co. KGaA,22171,Germany,2013,FME GR,DE0005785802,72,D,,Not public,AQ*,,,"(51.165691, 10.451526)"
Fresnillo plc,6806,Mexico,2013,FRES LN,GB00B2QPKJ12,68,D,,Public,AQ*,236183.87,346134.05,"(23.634501, -102.552784)"
Gas Natural SDG SA,7084,Spain,2013,GAS SM,ES0116870314,100,A,,Public,AQ*,26062058,956889,"(40.463667, -3.74922)"
Gazprom OAO,7047,Russia,2013,GAZP RM,RU0007661625,62,C,,Public,AQ*,133428139,5146743,"(61.52401, 105.318756)"
GDF Suez,7121,France,2013,GSZ FP,FR0010208488,95,B,,Public,AQ*,154230874,3712790,"(46.227638, 2.213749)"
General Dynamics Corporation,7147,USA,2013,GD US,US3695501086,,,,,NR,,,"(37.09024, -95.712891)"
General Electric Company,7166,USA,2013,GE US,US3696041033,72,C,,Public,AQ*,1970000,2905000,"(37.09024, -95.712891)"
General Growth Properties,7172,USA,2013,GGP US,US3700231034,,,,,NR,,,"(37.09024, -95.712891)"
General Mills Inc.,7156,USA,2013,GIS US,US3703341046,78,B,,Public,AQ*,259400,737000,"(37.09024, -95.712891)"
General Motors Company,7164,USA,2013,GM US,US37045V1008,100,A-,,Public,AQ*,2454755,5531380,"(37.09024, -95.712891)"
"Gilead Sciences, Inc.",7345,USA,2013,GILD US,US3755581036,,,,,NR,,,"(37.09024, -95.712891)"
GlaxoSmithKline,7374,United Kingdom,2013,GSK LN,GB0009252882,98,A,,Public,AQ*,1005447,804283,"(55.378051, -3.435973)"
Glencore International AG,35349,Switzerland,2013,GLEN LN,JE00B4T3BW64,82,C,,Not public,AQ*,,,"(46.818188, 8.227512)"
Goldcorp Inc.,7582,Canada,2013,G CN,CA3809564097,75,C,,Public,AQ*,734981,685344,"(56.130366, -106.346771)"
Goldman Sachs Group Inc.,7599,USA,2013,GS US,US38141G1040,98,A,,Public,AQ*,14559,276815,"(37.09024, -95.712891)"
Google Inc.,7616,USA,2013,GOOG US,US38259P5089,93,B,,Public,AQ*,37187,1149988,"(37.09024, -95.712891)"
Great-West Lifeco Inc.,7690,Canada,2013,GWO CN,CA39138C1068,67,B,Power Financial Corporation,Not public,AQ*,,,"(56.130366, -106.346771)"
GRUPO FINANCIERO INBURSA-O,23089,Mexico,2013,GFINBURO MM,MXP370641013,,,,,NR,,,"(23.634501, -102.552784)"
Grupo Mexico S.A.B. de CV,7834,Mexico,2013,GMEXICOB MM,MXP370841019,,,,,NR,,,"(23.634501, -102.552784)"
H&M Hennes & Mauritz AB,7903,Sweden,2013,HMB SS,SE0000106270,83,A,,Public,AQ*,15282,329630,"(60.128161, 18.643501)"
